cmnh1sk3u0042k908slhe9yu9	cmnh1sk3c003tk908gigp09oy	\N	goal	PG	Improved participant agro-food MSME competitiveness, productivity and export readiness in the Los Santos region in Costa Rica.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.874	2026-04-02 05:42:20.874
cmnh1sk3y0044k908cfe6tuvj	cmnh1sk3c003tk908gigp09oy	cmnh1sk3u0042k908slhe9yu9	outcome	R1	Improved business, financial management, export-readiness capacities, and digitalization of core business and production processes of the cooperative and participating MSMEs.	Improved business, financial management, export-readiness capacities, and digitalization of core business and production processes of the cooperative and participating MSMEs.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.879	2026-04-02 05:42:20.879
cmnh1sk420046k908ebiewb4p	cmnh1sk3c003tk908gigp09oy	cmnh1sk3y0044k908cfe6tuvj	objective	OE1	Strengthen business , financial management, export capabilities, and comprehensive digitalization	Strengthen business , financial management, export capabilities, and comprehensive digitalization	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.882	2026-04-02 05:42:20.882
cmnh1sk440048k9084ruajl94	cmnh1sk3c003tk908gigp09oy	cmnh1sk420046k908ebiewb4p	output	P1.1	Cooperative leadership and participating MSMEs’ owners and staff trained in business management, financial planning, export readiness, and use of simple, low-cost digital systems and automation nodes.	Cooperative leadership and participating MSMEs’ owners and staff trained in business management, financial planning, export readiness, and use of simple, low-cost digital systems and automation nodes.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	not_started	0	t	2026-04-02 05:42:20.885	2026-04-02 05:42:20.885
cmnh1sk47004ak908t6jnmdd3	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(EG.5-3) Number of microenterprises supported by USG assistance	\N	(EG.5-3) Number of microenterprises supported by USG assistance	\N	Number of MSMEs	Selection records, eligibility screening forms, signed participation/commitment letters; disaggregated by type of participant (cooperative / MSME), product line (coffee / other agro-food products), and sex of owner/manager when available	\N	Once at project start, with update if replacement is needed	Project Manager and Technical Lead; Operations and Business Development Technician	\N	0	59	\N	not_started	0	t	2026-04-02 05:42:20.887	2026-04-02 05:42:20.887
cmnh1sk49004ck90842r5epdx	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	Number of selected enterprises with a completed baseline assessment covering business management, financial practices, digitalization, and export readiness	\N	Number of selected enterprises with a completed baseline assessment covering business management, financial practices, digitalization, and export readiness	\N	Number of questionnaires	Completed baseline questionnaires, interview notes, assessment scoring sheets, enterprise profiles; disaggregated by participant type (cooperative / MSME) and by assessment dimension (business management, financial management, digitalization, export readiness)	\N	Once at project start	Operations and Business Development Technician; Project Manager and Technical Lead	\N	0	60	\N	not_started	1	t	2026-04-02 05:42:20.89	2026-04-02 05:42:20.89
cmnh1sk4c004ek908r23bijdc	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(EG.6-15) Percentage of individuals with better employment following participation in USG-assisted workforce development programs	\N	(EG.6-15) Percentage of individuals with better employment following participation in USG-assisted workforce development programs	\N	% individuals	Training attendance and pre/post tests; disaggregated by participant role	\N	Quarterly	Project Manager, Training executer	\N	0%	30%	\N	not_started	2	t	2026-04-02 05:42:20.892	2026-04-02 05:42:20.892
cmnh1sk4f004gk908f37ihegp	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(EG.2-1 ) Person-hours of USG supported training completed in trade and investment	\N	(EG.2-1 ) Person-hours of USG supported training completed in trade and investment	\N	Number of Person-hours (Total participants × hours of training)	Training attendance sheets and curriculum/agenda; disaggregated by participant role	\N	Quarterly	Project Manager / Technical Lead	\N	0	80	\N	not_started	3	t	2026-04-02 05:42:20.895	2026-04-02 05:42:20.895
cmnh1sk4h004ik908fx8q3klg	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(Custom) Number of participating enterprises receiving individualized coaching on financial management, basic costing, and digital tool adoption	\N	(Custom) Number of participating enterprises receiving individualized coaching on financial management, basic costing, and digital tool adoption	\N	Number of enterprises	Coaching plans, session attendance records, technical assistance logs, coaching reports, follow-up notes; disaggregated by participant type (cooperative / MSME) and coaching topic (financial management, basic costing, digital adoption)	\N	Quarterly	Operations and Business Development Technician; Project Manager and Technical Lead	\N	0	10 enterprises	\N	not_started	4	t	2026-04-02 05:42:20.898	2026-04-02 05:42:20.898
cmnh1sk4k004kk9087fdt3w67	cmnh1sk3c003tk908gigp09oy	cmnh1sk440048k9084ruajl94	indicator	\N	(Custom) Number of business improvement plans developed	\N	(Custom) Number of business improvement plans developed	\N	Number of plans	Business plan documents; disaggregated by MSME	\N	Quarterly	Project Manager, M&E Analyst	\N	0	60	\N	not_started	5	t	2026-04-02 05:42:20.9	2026-04-02 05:42:20.9
