cmnh1skag0093k908v5gi6rus	cmnh1sk3c003tk908gigp09oy	personnel	Project Manager and Technical Lead: Tiago Rezende	month	14	6000	17640	This position serves as the primary technical and strategic lead for the initiative. Beyond project oversight and donor reporting, this role is directly responsible for the design and delivery of core training modules, including International Sustainable Business Models, Export Basics, and Joint Marketing Strategies. He will lead the Training of Operators and Quality Control Procedures at the shared maquila and provide specialized technical assistance in rural business development. His functions include the creation of educational content, the development of standardized operating procedures (SOPs), and ensuring that all project activities align with international trade requirements and the specific needs of the Los Santos agro-food sector.. $6,000/month x 14 months x 21% effort = $17,640. Fully funded by the project.	federal	\N	\N	0	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0094k908veezj8u7	cmnh1sk3c003tk908gigp09oy	personnel	Operations and Business Development Technician: Pablo Gonzalez	month	14	3000	8820	This role focuses on the direct execution of field-based technical support and business coaching. He is responsible for conducting the individualized coaching sessions for financial management, basic costing, and digital tool adoption. He will coordinate the baseline diagnostic process for all 30 MSMEs and lead the participatory development of Business Improvement and Export-Readiness Plans. Furthermore, he will provide ongoing mentorship in commercialization, digital marketing, and business formalization. His technical contribution includes the development of practical toolkits and educational materials for beneficiaries, ensuring that the operational transition from primary production to value-added processing is supported by robust business management practices. $3,000/month x 14 months x 21% effort = $12,600. Fully funded by project resources.	federal	\N	\N	1	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0095k908e490ts12	cmnh1sk3c003tk908gigp09oy	personnel	Agricultural Engineer: Beatriz Elizondo	month	14	1200	6720	Provides technical support in agricultural production processes, including the implementation of sustainable practices, digital monitoring, and process optimization. Works directly with MSMEs to improve productivity and product quality. $1,200/month x 14 months x 40% effort = $6,720. Fully funded by the project.	federal	\N	\N	2	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0096k908nv13yvpe	cmnh1sk3c003tk908gigp09oy	personnel	Digitization Specialist: Reymond Rojas	month	14	1200	6720	Leads the design, development, and implementation of digital tools and automation systems. Supports training on digital technologies and ensures integration of monitoring devices with data management platforms. Facilitates the digital transformation of business and production processes. $1,200/month x 14 months x 40% effort = $6,720. Fully funded by the project.	federal	\N	\N	3	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0097k908x1dsdepo	cmnh1sk3c003tk908gigp09oy	personnel	Compliance and Financial Management Analyst (Karoline Lima)	month	14	3000	7980	Classified under Indirect Costs as this role provides cross-cutting financial governance and audit readiness support across all project components. Responsibilities include pre-audit screening of invoices and payment vouchers, bank reconciliations, budget execution monitoring, and procurement compliance oversight. Given the project's high volume of external expenditures (travel, per diems, and supplies), this position ensures full adherence to donor regulations, maintains a complete audit trail, and prepares financial reports for internal management and donor review. The 19% LOE reflects the continuous but proportional nature of this oversight function throughout the 14-month implementation period.$3,000/month x 14 months x 19% effort = $7,980. Fully funded by the project.	federal	\N	\N	4	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0098k908ymj1q3ss	cmnh1sk3c003tk908gigp09oy	travel	International Airfare Montevideo > < El Salvador (Summit)	flight	1	1200	1200	Used for 1 staff member to attend the summit in El Salvador. $1,200 per ticket x 1 trip = $1,200. Fully funded by the project.*Tandem Global will cover costs for lodging & per diem. Therefore, only flights to two summits are being considered	federal	\N	\N	5	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag0099k908easbrduu	cmnh1sk3c003tk908gigp09oy	travel	Airport Transfer/taxi (El Salvador Summit)	trip	4	30	120	Taxi to and from airport to venue for 4 trips (Home> <Airport) and (Airport><Hotel) . 4 trips x $30 each = $120. Fully funded by the project.	federal	\N	\N	6	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag009ak908mtfhyx71	cmnh1sk3c003tk908gigp09oy	travel	International Airfare Montevideo > < David, Panama (Summit)	flight	1	1000	1000	Used for 1 staff member to attend the summit in Panama. $1,000 per ticket x 1 trip = $1,000. Fully funded by the project. *Tandem Global will cover costs for lodging & per diem. Therefore, only flights to two summits are being considered	federal	\N	\N	7	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag009bk908bfe9ynu0	cmnh1sk3c003tk908gigp09oy	travel	Airport Transfer/taxi (David, Panama Summit)	trip	4	30	120	Taxi to and from airport to venue for 4 trips. (Home> <Airport) and (Airport><Hotel). 4 trips x $30 each = $120. Fully funded by the project.	federal	\N	\N	8	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
cmnh1skag009ck908hkw9mnwv	cmnh1sk3c003tk908gigp09oy	travel	International Airfare  Montevideo > < San José, Costa Rica (Summit)	flight	10	700	7000	This line covers the international airfare for 5 technical missions throughout the 14-month implementation period. Each mission involves the mobilization of two key international staff members: the Project Manager and Technical Lead (Tiago Rezende) and the Operations and Business Development Technician (Pablo Gonzalez). These quarterly on-site missions are essential for the direct delivery of specialized training programs, individualized business coaching, and the technical supervision of the maquila/bio-refinery setup. Their physical presence ensures high-quality technical assistance, institutional articulation with local partners, and rigorous monitoring of the digitalization and automation milestones that cannot be achieved through remote supervision alone.$700 per ticket x 10 trip = $7,000. Fully funded by the project.	federal	\N	\N	9	t	2026-04-02 05:42:21.113	2026-04-02 05:42:21.113
